spatial1,spatial2
9312,7772
5227,2153
2902,6956
3179,7435
5257,10544
8972,9092
10205,7169
10829,8246
4210,6832
5179,8027
8009,9575
3588,6234
6675,2507
7721,5980
3848,1918
6357,9820
9844,2736
10058,4533
2429,9475
9527,10288
8601,1781
5574,2991
6010,9222
6076,8383
9570,2976
9979,1776
5850,2990
3313,6235
8895,6815
10199,5491
9581,6093
10668,1774
9244,8132
9919,4294
3924,3716
2275,4921
6274,5865
2553,5639
8750,4897
10201,5971
10467,3572
5169,5150
4839,9107
3998,5274
8692,7894
6745,2867
4608,2515
4425,8868
6885,3585
10069,7649
10055,3814
3932,6113
3049,9593
5255,9824
10876,2372
8894,6575
7089,2746
7096,4663
8621,7295
7939,9215
2840,8754
10492,10285
5921,3589
7509,4662
3782,2758
8762,8253
8623,7774
4970,7428
5178,7547
5088,1914
5029,4671
9804,10527
10068,7410
5311,6348
3092,2281
8685,5976
5111,8147
9914,2855
6817,3706
6819,4185
8396,2142
5642,2631
3511,3957
4136,5274
2759,5518
2778,10792
10146,9927
2704,9234
6009,8983
4278,6472
7790,6099
9798,8849
4976,8866
9656,7651
8949,2859
4699,8628
2504,11033
9789,6452
8268,5019
4892,4671
3737,9350
4081,8990
7854,4781
8620,7055
5019,1794
5509,4070
9241,7173
4003,6712
2964,5158
9447,7052
4842,10066
9594,9689
4904,8028
10218,10765
7157,2386
4841,9826
9918,4054
4570,11026
6215,8622
5160,2753
9793,7650
3795,6114
4567,10067
9038,8252
5507,3351
4058,2757
10135,6810
9803,10287
8010,9814
9852,4893
2969,6357
8615,5617
4351,7550
8680,4538
4683,4073
4496,9707
9733,9928
5725,6586
6625,7902
8427,10772
6288,9701
6625,7662
9318,9450
6884,3106
3393,9472
5052,10904
9362,2618
4340,4434
4067,5394
7451,7659
4825,5271
4483,6111
6535,2028
2897,5518
7924,5140
6131,4667
8482,7056
3392,8992
2818,2761
10337,5491
5718,4668
4958,4072
10943,1773
3463,9591
7168,5502
7166,5023
3442,3838
9109,8851
4972,7908
3248,7314
2909,8874
6612,4306
6214,8383
9308,6813
6553,6823
9445,6573
3231,2760
6488,7902
10193,3813
9850,4174
5646,3830
9596,10168
7661,8497
9652,6692
7520,7539
2681,3001
7225,2266
9363,2857
8760,7534
6138,6345
3109,7075
5175,6828
2613,3361
8201,5379
9178,8971
4288,9109
4704,10066
9169,6334
5588,6827
2915,10552
6008,8743
5043,8507
6747,3346
3046,8634
10553,8247
8617,6096
9585,7052
4500,10666
9034,7294
2635,9354
4976,9106
10065,6690
9658,8370
9994,5852
3325,9592
3931,5634
10900,8845
4633,9467
3184,8633
2816,2282
7784,4421
2347,5760
5528,9344
9783,4774
9314,8491
7187,10776
7156,2146
7173,6941
4417,6711
2620,5279
10562,10644
10805,1773
3176,6476
7845,2144
4130,3595
9711,3935
7730,8617
6419,8022
4401,2396
3048,9113
3190,10311
6814,2986
4498,10187
6893,5743
7254,10177
8963,6694
2431,9954
2696,7077
6611,3826
4913,10665
10062,5732
5320,8985
8836,9572
4431,10786
3462,9351
5099,4791
6147,8982
9449,7771
9502,3336
9720,6332
2338,3362
5113,8866
4540,2635
7027,4784
4288,9348
3455,7434
9939,9807
2344,5040
7101,6102
7776,2264
10477,6209
