,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
AL627309.1,ENSG00000238009,Gene Expression,GRCh38,False,25,0.0052083335,0.005194817,99.49919871794873,26.0,3.295837,21
AL627309.5,ENSG00000241860,Gene Expression,GRCh38,False,79,0.016025642,0.015898587,98.41746794871796,80.0,4.394449,72
LINC01409,ENSG00000237491,Gene Expression,GRCh38,False,427,0.09254808,0.08851266,91.4463141025641,462.0,6.1377273,322
LINC01128,ENSG00000228794,Gene Expression,GRCh38,False,952,0.21614583,0.1956867,80.92948717948718,1079.0,6.9847164,727
LINC00115,ENSG00000225880,Gene Expression,GRCh38,False,183,0.037660256,0.036968425,96.33413461538461,188.0,5.241747,136
FAM41C,ENSG00000230368,Gene Expression,GRCh38,False,36,0.0072115385,0.00718566,99.27884615384616,36.0,3.6109178,30
LINC02593,ENSG00000223764,Gene Expression,GRCh38,False,22,0.0044070515,0.004397369,99.55929487179486,22.0,3.1354942,17
SAMD11,ENSG00000187634,Gene Expression,GRCh38,False,61,0.012219551,0.012145495,98.77804487179486,61.0,4.1271343,45
NOC2L,ENSG00000188976,Gene Expression,GRCh38,False,1436,0.364383,0.31070232,71.23397435897436,1819.0,7.506592,1117
KLHL17,ENSG00000187961,Gene Expression,GRCh38,False,751,0.16846955,0.15569481,84.95592948717949,841.0,6.7357802,545
AL645608.7,ENSG00000272512,Gene Expression,GRCh38,False,23,0.004607372,0.0045967908,99.53926282051282,23.0,3.1780539,20
HES4,ENSG00000188290,Gene Expression,GRCh38,False,936,0.23978366,0.2149369,81.25,1197.0,7.088409,735
ISG15,ENSG00000187608,Gene Expression,GRCh38,False,346,0.07532051,0.07261877,93.06891025641025,376.0,5.9322453,292
AGRN,ENSG00000188157,Gene Expression,GRCh38,False,252,0.0546875,0.053244516,94.95192307692307,273.0,5.613128,217
C1orf159,ENSG00000131591,Gene Expression,GRCh38,False,635,0.14002404,0.13104935,87.27964743589743,699.0,6.55108,483
TNFRSF18,ENSG00000186891,Gene Expression,GRCh38,False,123,0.026041666,0.025708357,97.5360576923077,130.0,4.8751974,95
TNFRSF4,ENSG00000186827,Gene Expression,GRCh38,False,27,0.0056089745,0.0055933027,99.45913461538461,28.0,3.3672957,20
SDF4,ENSG00000078808,Gene Expression,GRCh38,False,2696,0.9230769,0.6539265,45.993589743589745,4608.0,8.435766,1969
B3GALT6,ENSG00000176022,Gene Expression,GRCh38,False,600,0.13261218,0.124526635,87.98076923076923,662.0,6.496775,493
C1QTNF12,ENSG00000184163,Gene Expression,GRCh38,False,70,0.014022436,0.013925031,98.59775641025641,70.0,4.26268,55
UBE2J2,ENSG00000160087,Gene Expression,GRCh38,False,1440,0.369992,0.31480488,71.15384615384616,1847.0,7.521859,1152
SCNN1D,ENSG00000162572,Gene Expression,GRCh38,False,1215,0.29707533,0.260112,75.6610576923077,1483.0,7.3024964,852
ACAP3,ENSG00000131584,Gene Expression,GRCh38,False,4074,2.722556,1.3144106,18.389423076923073,13591.0,9.517237,2650
PUSL1,ENSG00000169972,Gene Expression,GRCh38,False,482,0.103766024,0.09872799,90.34455128205127,518.0,6.251904,379
INTS11,ENSG00000127054,Gene Expression,GRCh38,False,3024,1.1191907,0.75103426,39.42307692307693,5587.0,8.628377,2104
CPTP,ENSG00000224051,Gene Expression,GRCh38,False,868,0.2001202,0.18242171,82.61217948717949,999.0,6.9077554,727
TAS1R3,ENSG00000169962,Gene Expression,GRCh38,False,23,0.004607372,0.0045967908,99.53926282051282,23.0,3.1780539,13
DVL1,ENSG00000107404,Gene Expression,GRCh38,False,1983,0.56850964,0.4501259,60.276442307692314,2838.0,7.951207,1531
MXRA8,ENSG00000162576,Gene Expression,GRCh38,False,359,0.079126604,0.07615201,92.80849358974359,395.0,5.9814143,302
AURKAIP1,ENSG00000175756,Gene Expression,GRCh38,False,3328,1.5526843,0.9371455,33.333333333333336,7751.0,8.955707,2515
CCNL2,ENSG00000221978,Gene Expression,GRCh38,False,3469,1.5899439,0.9516362,30.50881410256411,7937.0,8.979417,2281
MRPL20-AS1,ENSG00000224870,Gene Expression,GRCh38,False,336,0.070512824,0.06813781,93.26923076923077,352.0,5.866468,278
MRPL20,ENSG00000242485,Gene Expression,GRCh38,False,2669,0.9727564,0.67943174,46.53445512820513,4856.0,8.488176,2117
AL391244.2,ENSG00000272455,Gene Expression,GRCh38,False,147,0.030849358,0.030383082,97.05528846153845,154.0,5.043425,113
ANKRD65,ENSG00000235098,Gene Expression,GRCh38,False,1084,0.25641027,0.22825867,78.28525641025641,1280.0,7.1553965,853
VWA1,ENSG00000179403,Gene Expression,GRCh38,False,508,0.11137821,0.10560087,89.82371794871796,556.0,6.322565,416
ATAD3C,ENSG00000215915,Gene Expression,GRCh38,False,244,0.051081732,0.049819853,95.11217948717949,255.0,5.5451775,214
ATAD3B,ENSG00000160072,Gene Expression,GRCh38,False,968,0.2275641,0.2050318,80.60897435897436,1136.0,7.0361485,687
ATAD3A,ENSG00000197785,Gene Expression,GRCh38,False,705,0.15865384,0.14725885,85.87740384615384,792.0,6.675823,560
TMEM240,ENSG00000205090,Gene Expression,GRCh38,False,1692,0.4589343,0.37770623,66.10576923076923,2291.0,7.73718,1243
SSU72,ENSG00000160075,Gene Expression,GRCh38,False,2960,1.1476362,0.76436776,40.705128205128204,5729.0,8.653471,2239
AL645728.1,ENSG00000215014,Gene Expression,GRCh38,False,42,0.008413462,0.008378266,99.15865384615384,42.0,3.7612002,33
FNDC10,ENSG00000228594,Gene Expression,GRCh38,False,972,0.23898236,0.21429037,80.52884615384616,1193.0,7.0850644,820
AL691432.4,ENSG00000286989,Gene Expression,GRCh38,False,142,0.029447116,0.029021878,97.15544871794873,147.0,4.9972124,116
AL691432.2,ENSG00000272106,Gene Expression,GRCh38,False,965,0.23016827,0.20715097,80.66907051282051,1149.0,7.0475173,792
MIB2,ENSG00000197530,Gene Expression,GRCh38,False,1930,0.5452724,0.4352002,61.33814102564102,2722.0,7.9094896,1327
MMP23B,ENSG00000189409,Gene Expression,GRCh38,False,124,0.026041666,0.025708357,97.51602564102564,130.0,4.8751974,97
CDK11B,ENSG00000248333,Gene Expression,GRCh38,False,221,0.046875,0.045809537,95.57291666666666,234.0,5.4595857,166
FO704657.1,ENSG00000272004,Gene Expression,GRCh38,False,21,0.004206731,0.0041979076,99.57932692307693,21.0,3.0910425,16
SLC35E2B,ENSG00000189339,Gene Expression,GRCh38,False,847,0.19330929,0.17673036,83.03285256410257,965.0,6.8731637,633
CDK11A,ENSG00000008128,Gene Expression,GRCh38,False,575,0.12459936,0.11742685,88.48157051282051,622.0,6.4345465,427
SLC35E2A,ENSG00000215790,Gene Expression,GRCh38,False,1628,0.43129006,0.35857618,67.38782051282051,2153.0,7.6750817,1219
NADK,ENSG00000008130,Gene Expression,GRCh38,False,1065,0.25120193,0.22410463,78.66586538461539,1254.0,7.134891,861
GNB1,ENSG00000078369,Gene Expression,GRCh38,False,3909,2.3978364,1.2231389,21.69471153846154,11970.0,9.390243,2792
AL109917.1,ENSG00000231050,Gene Expression,GRCh38,False,86,0.017628206,0.01747463,98.27724358974359,88.0,4.4886365,70
CALML6,ENSG00000169885,Gene Expression,GRCh38,False,38,0.0076121795,0.007583353,99.23878205128204,38.0,3.6635616,31
TMEM52,ENSG00000178821,Gene Expression,GRCh38,False,78,0.01582532,0.015701406,98.4375,79.0,4.3820267,49
CFAP74,ENSG00000142609,Gene Expression,GRCh38,False,109,0.022235576,0.02199197,97.81650641025641,111.0,4.7184987,76
AL391845.2,ENSG00000233542,Gene Expression,GRCh38,False,1114,0.26822916,0.23762156,77.68429487179486,1339.0,7.2004247,768
GABRD,ENSG00000187730,Gene Expression,GRCh38,False,4189,2.8852162,1.3571787,16.085737179487182,14403.0,9.575261,2800
PRKCZ,ENSG00000067606,Gene Expression,GRCh38,False,3710,1.8465545,1.0461093,25.681089743589748,9218.0,9.129022,2532
