spatial1,spatial2
19873,16327
11334,4450
18728,7239
6385,14538
21761,15069
23063,17342
9142,14290
16543,12536
22209,7245
21051,5728
21480,9515
14798,15057
7835,15045
12056,6218
7261,11006
22784,10274
14081,9755
8859,9747
20470,6232
12637,6219
18715,14811
19006,14307
17857,7237
21767,11535
15087,15562
20459,12795
13203,14802
21191,9010
8572,7727
15102,6980
12482,12024
5087,10245
13497,12278
5664,11760
17567,7237
18723,10268
21765,12544
22354,7497
18151,5219
9865,15554
11179,10760
8712,11008
8125,15046
10027,5205
14811,7485
9582,11010
21469,16078
19448,10521
21483,8001
8564,12775
18441,5219
9444,7223
10749,7478
19007,13802
15242,9757
18424,15315
14377,6727
22200,12798
18437,7743
12780,7481
16112,9759
20176,8756
14517,9503
18422,16325
10735,15555
11170,15808
10890,9750
17134,5974
15817,12787
6539,9238
21470,15573
12059,4704
11464,13285
18438,6734
9010,6465
18574,12539
21196,5981
23499,16586
14665,7737
14663,8747
12203,5461
7701,8230
9002,11009
7993,7221
6100,11509
12204,4956
23076,9265
23367,8761
8719,6970
14947,12786
9003,10504
16253,12535
9288,13533
16688,12788
18142,10267
20599,16076
23222,8508
19165,5977
14941,16319
15673,12534
12049,10761
20893,13553
17707,10518
22197,14312
10600,9749
11758,11266
18433,10267
16837,10012
18425,14811
11908,8490
19730,15065
23222,9013
5516,13527
8707,14037
6537,10752
20166,14813
20177,8251
10010,15301
9434,12776
22773,16837
7844,9492
17553,15819
21197,5476
21192,8505
6103,9994
11187,5712
20889,16077
19738,10522
11910,6975
8866,5708
16541,13545
21617,14311
21044,10272
6532,13276
18430,11782
18732,4715
11906,9499
8138,7474
18579,9510
13646,10007
19161,8502
7406,11259
10167,8487
12334,13791
14215,16570
18289,9510
14216,16066
17119,15061
18293,6986
14812,6475
16972,16323
17264,14809
20036,5474
15529,11777
9440,9243
8857,11261
5227,13022
15957,16069
10453,11011
20473,4718
7981,14288
9725,12777
21341,5729
6390,11509
16981,10770
22922,14566
13211,9754
23080,7246
18135,14810
14376,7232
22057,11535
12341,9752
10747,8488
11325,10003
21182,14058
15384,11524
15386,10515
7557,7977
13507,6220
16698,6226
5082,13274
22352,8507
14228,8998
6825,11762
19876,14308
14074,14299
10448,14040
15974,5972
20167,13804
13925,16570
21773,8001
21046,8757
12199,7985
12918,11268
20602,14057
22641,9517
16102,15816
5662,13275
20035,5979
18713,15821
13205,13287
11173,14294
17560,11275
8714,9999
10449,13030
19588,13298
12043,14295
17263,15818
21771,9011
14521,6979
23369,7751
14660,10766
22483,17341
18428,12791
16536,16574
20456,14814
19294,15317
19602,4716
9436,11767
21473,14058
21330,12291
7690,15298
8566,11765
10026,5710
20172,10775
16693,9255
5229,12012
14226,10008
19879,12794
11320,13032
15248,6223
20899,10019
13933,12027
15680,7991
15379,14553
9577,14039
14077,12279
5811,11003
19592,10774
6967,13530
9008,7475
20757,8252
16247,16069
22205,9769
14668,6222
14803,12028
19152,14055
5950,14790
14229,7989
15090,14048
10739,13536
21476,12039
14956,7233
19310,5725
11035,10003
20163,16328
20324,6989
20748,13300
21467,17087
15826,7234
9882,5457
15096,10009
11332,5964
7544,15550
20171,11785
22932,9013
15232,15815
23358,14314
16397,12788
16395,14302
23360,12799
15237,12786
17118,15566
15245,7738
22345,13050
16400,11273
10744,10507
10316,6215
13062,12025
14369,11270
9589,6971
18874,6482
9734,7224
18138,12791
12625,13286
18134,15315
15966,10516
23508,11538
15525,14301
12194,11014
6530,14791
20743,16834
20461,11785
14080,10765
6677,13529
21758,17088
23067,14818
15676,10515
11463,14294
6678,13024
20759,6737
19300,11783
8427,7979
6829,9238
23207,17595
11913,5461
14506,16066
13210,10259
21178,16582
7547,14035
19148,16074
19891,5726
11759,10761
17852,10266
7692,13783
7842,11007
23513,8509
14375,7736
9149,9747
20454,15824
